scheduleid,name_1,name_2,name_1_win,name_2_win,name_1_country,name_2_country
355,CRS,LMQ,2,3,US,US
352,C9,CRS,3,0,US,US
2286,T8,XDG,2,1,US,US
1500,CA,XDG,2,1,US,US
1491,XDG,TBD,1,0,US,
1475,XDG,FFG,0,2,US,US
350,CRS,CLG,3,0,US,US
1952,XDG,LMQ,0,3,US,US
230,XDG,EG,0,1,US,US
228,XDG,TSM,1,0,US,US
220,XDG,DIG,0,1,US,US
215,C9,XDG,1,0,US,US
211,CLG,XDG,1,0,US,US
209,CST,XDG,1,0,US,US
205,XDG,CRS,1,0,US,US
199,TSM,XDG,1,0,US,US
194,XDG,TSM,0,1,US,US
192,XDG,CST,1,0,US,US
189,EG,XDG,1,0,US,US
186,CRS,XDG,1,0,US,US
181,XDG,CLG,0,1,US,US
175,XDG,C9,1,0,US,US
174,DIG,XDG,1,0,US,US
170,CLG,XDG,1,0,US,US
163,XDG,CRS,0,1,US,US
161,CST,XDG,1,0,US,US
158,XDG,DIG,1,0,US,US
151,C9,XDG,1,0,US,US
147,XDG,CLG,1,0,US,US
143,TSM,XDG,1,0,US,US
139,XDG,EG,0,1,US,US
135,DIG,XDG,1,0,US,US
134,XDG,CST,0,1,US,US
125,CRS,XDG,1,0,US,US
122,XDG,C9,0,1,US,US
120,EG,XDG,0,1,US,US
1356,GMB,XDG,1,0,RU,US
1354,XDG,SSW,0,1,US,KR
1352,XDG,Team Mineski,1,0,US,PH
1349,FNC,XDG,1,0,EU,US
1346,Team Mineski,XDG,0,1,PH,US
1344,XDG,GMB,0,1,US,RU
1340,SSW,XDG,1,0,KR,US
1338,XDG,FNC,1,0,US,EU
1948,XDG,DIG,2,0,US,US
1946,XDG,TSM,0,2,US,US
1939,Velocity Esports,XDG,0,1,US,US
1937,XDG,TSM,1,0,US,US
1931,XDG,CST,1,0,US,US
1928,DIG,XDG,0,1,US,US
1926,XDG,C9,1,0,US,US
1919,XDG,CRS,1,0,US,US
1915,CLG,XDG,0,1,US,US
1913,XDG,Velocity Esports,1,0,US,US
1910,XDG,CLG,0,1,US,US
1903,TSM,XDG,1,0,US,US
1901,CST,XDG,0,1,US,US
1898,Velocity Esports,XDG,1,0,US,US
1893,XDG,DIG,1,0,US,US
1277,CA,COW,2,0,US,US
1272,COW,OO,2,1,US,US
1825,COW,C9,0,3,US,US
111,COW,Team MRN,0,1,US,US
106,CRS,COW,0,1,US,US
100,COW,TSM,0,1,US,US
95,COW,CST,1,0,US,US
93,COW,DIG,1,0,US,US
91,CST,COW,1,0,US,US
87,COW,CRS,0,1,US,US
82,XDG,COW,0,1,US,US
80,Team MRN,COW,1,0,US,US
77,COW,CLG,1,0,US,US
74,CLG,COW,1,0,US,US
72,COW,CST,0,1,US,US
1889,XDG,CST,1,0,US,US
1884,C9,XDG,1,0,US,US
68,COW,Team MRN,1,0,US,US
64,DIG,COW,1,0,US,US
62,Team MRN,COW,1,0,US,US
58,TSM,COW,1,0,US,US
53,COW,TSM,0,1,US,US
51,COW,XDG,1,0,US,US
46,COW,DIG,1,0,US,US
42,COW,CLG,0,1,US,US
38,DIG,COW,1,0,US,US
34,XDG,COW,1,0,US,US
29,CRS,COW,1,0,US,US
27,TSM,COW,1,0,US,US
24,CST,COW,0,1,US,US
22,CLG,COW,1,0,US,US
20,COW,XDG,0,1,US,US
11,COW,CRS,0,1,US,US
1879,XDG,TSM,1,0,US,US
1878,DIG,XDG,0,1,US,US
1871,CRS,XDG,0,1,US,US
1867,XDG,C9,1,0,US,US
1863,XDG,DIG,1,0,US,US
1861,CLG,XDG,1,0,US,US
1855,C9,XDG,1,0,US,US
1853,XDG,CRS,1,0,US,US
1848,XDG,CLG,1,0,US,US
1845,TSM,XDG,1,0,US,US
1841,XDG,Velocity Esports,1,0,US,US
1836,CST,XDG,1,0,US,US
1832,CRS,XDG,0,1,US,US
118,CRS,XDG,1,2,US,US
115,TSM,XDG,2,1,US,US
113,CLG,XDG,1,2,US,US
112,XDG,CRS,1,0,US,US
108,DIG,XDG,0,1,US,US
104,CLG,XDG,1,0,US,US
102,XDG,CST,1,0,US,US
99,XDG,Team MRN,1,0,US,US
84,CRS,XDG,1,0,US,US
79,XDG,TSM,1,0,US,US
76,XDG,CRS,0,1,US,US
71,Team MRN,XDG,1,0,US,US
67,CST,XDG,1,0,US,US
63,XDG,CLG,1,0,US,US
54,XDG,DIG,1,0,US,US
48,XDG,Team MRN,1,0,US,US
44,XDG,CST,0,1,US,US
37,TSM,XDG,1,0,US,US
31,DIG,XDG,1,0,US,US
25,CLG,XDG,1,0,US,US
23,Team MRN,XDG,0,1,US,US
17,XDG,CLG,1,0,US,US
16,CST,XDG,1,0,US,US
13,CRS,XDG,1,0,US,US
10,XDG,TSM,0,1,US,US
8,XDG,DIG,0,1,US,US
4,TSM,XDG,1,0,US,US
1489,XDG,SGQ,1,0,US,US
346,CRS,TSM,1,0,US,US
341,CRS,LMQ,1,0,US,US
339,DIG,CRS,0,1,US,US
336,CRS,CLB,0,1,US,US
332,EG,CRS,1,0,US,US
326,CLG,CRS,0,1,US,US
322,CRS,C9,0,1,US,US
321,CRS,DIG,1,0,US,US
316,CRS,EG,0,1,US,US
312,CLB,CRS,1,0,US,US
305,CRS,CLG,1,0,US,US
303,C9,CRS,0,1,US,US
301,LMQ,CRS,0,1,US,US
298,TSM,CRS,1,0,US,US
293,CRS,CLB,1,0,US,US
288,EG,CRS,1,0,US,US
284,CLG,CRS,0,1,US,US
278,CRS,C9,0,1,US,US
274,CRS,LMQ,1,0,US,US
272,DIG,CRS,1,0,US,US
269,CRS,TSM,0,1,US,US
265,CLB,CRS,1,0,US,US
259,CRS,EG,1,0,US,US
257,C9,CRS,1,0,US,US
252,CRS,DIG,1,0,US,US
249,LMQ,CRS,1,0,US,US
243,TSM,CRS,1,0,US,US
239,CRS,CLG,0,1,US,US
236,CLG,CRS,2,0,US,US
233,C9,CRS,2,0,US,US
231,DIG,CRS,1,2,US,US
227,EG,CRS,1,0,US,US
222,CRS,CLG,1,0,US,US
218,DIG,CRS,1,0,US,US
216,CST,CRS,0,1,US,US
212,CRS,TSM,0,1,US,US
210,CRS,C9,0,1,US,US
200,CRS,DIG,1,0,US,US
198,CRS,EG,1,0,US,US
196,DIG,CRS,0,1,US,US
190,C9,CRS,1,0,US,US
182,CRS,CST,0,1,US,US
176,CLG,CRS,1,0,US,US
172,TSM,CRS,1,0,US,US
169,CRS,C9,0,1,US,US
160,EG,CRS,1,0,US,US
1827,Team MRN,Velocity Esports,2,3,US,US
156,CRS,TSM,0,1,US,US
27398,C9,P1,3,0,US,US
23150,C9,P1,2,0,US,US
23155,C9,DIG,2,0,US,US
154,CRS,DIG,1,0,US,US
148,CRS,EG,0,1,US,US
145,CRS,CLG,0,1,US,US
141,C9,CRS,1,0,US,US
136,CST,CRS,0,1,US,US
105,Team MRN,CLG,1,0,US,US
101,Team MRN,CRS,0,1,US,US
94,Team MRN,TSM,0,1,US,US
90,CLG,Team MRN,0,1,US,US
88,CST,Team MRN,1,0,US,US
85,CRS,Team MRN,1,0,US,US
83,Team MRN,CST,0,1,US,US
73,Team MRN,DIG,0,1,US,US
133,TSM,CRS,1,0,US,US
130,CLG,CRS,1,0,US,US
23147,NV,C9,1,2,US,US
60,TSM,Team MRN,1,0,US,US
57,DIG,Team MRN,1,0,US,US
121,CRS,CST,1,0,US,US
56,Team MRN,CRS,0,1,US,US
52,Team MRN,CLG,0,1,US,US
43,Team MRN,DIG,0,1,US,US
39,CST,Team MRN,0,1,US,US
36,Team MRN,TSM,1,0,US,US
32,CLG,Team MRN,0,1,US,US
26,CRS,Team MRN,1,0,US,US
21,Team MRN,CST,1,0,US,US
1951,CRS,COG,3,1,US,US
1943,CRS,DIG,1,2,US,US
1941,CST,CRS,0,1,US,US
1938,CRS,CLG,1,0,US,US
1934,CRS,TSM,0,1,US,US
1930,Velocity Esports,CRS,0,1,US,US
1924,DIG,CRS,0,1,US,US
1917,CRS,C9,0,1,US,US
12498,NME,CST,0,3,US,US
442,WFX,CST,1,0,US,US
438,CST,TSM,0,1,US,US
433,CST,TL,0,1,US,US
431,CST,P1,0,1,US,US
426,CLG,CST,1,0,US,US
417,DIG,CST,1,0,US,US
412,GV,CST,1,0,US,US
407,CST,C9,0,1,US,US
405,CST,T8,0,1,US,US
401,TSM,CST,1,0,US,US
393,P1,CST,1,0,US,US
387,CST,CLG,0,1,US,US
382,C9,CST,1,0,US,US
380,TL,CST,1,0,US,US
