teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
CLG,DIG,16,7,3,0,7,16,1,3,74913,61352,41,18,10,4,356
FNC,ALL,3,6,1,2,6,3,1,5,77596,86752,8,21,7,10,662
WFX,GV,22,8,1,0,8,22,4,0,75004,56952,52,18,15,2,359
SK,MYM,11,16,0,2,16,11,0,5,75705,95288,20,36,4,10,663
P1,TL,10,21,1,0,21,10,0,4,58674,63183,25,61,4,7,360
CLG,T8,22,10,1,0,10,23,2,1,64224,49397,65,27,8,4,361
DIG,P1,4,8,0,0,8,4,0,3,32140,43224,7,23,0,10,362
MIL,CW,22,7,1,0,7,22,3,1,61582,43763,67,14,10,3,665
CST,TSM,5,14,0,2,15,5,2,2,46016,63369,8,39,2,9,438
TSM,CLG,7,1,2,0,1,7,4,0,59033,43496,11,2,11,5,331
CST,WFX,25,7,1,0,8,25,3,2,70394,54901,70,14,10,3,363
SK,ROC,11,4,1,0,4,11,3,0,66621,45457,25,8,10,0,666
FNC,MIL,23,14,1,1,14,23,5,1,83260,67885,62,24,9,5,667
P1,DIG,5,16,0,2,16,6,1,4,58913,71857,7,34,3,9,441
MYM,GMB,18,5,1,0,5,18,3,2,70949,50548,45,13,10,0,668
ALL,CW,29,2,1,0,2,29,3,0,58702,34500,80,4,10,2,669
GMB,CW,20,8,1,0,8,20,4,1,81391,61078,54,18,9,3,670
FNC,MYM,12,1,1,0,1,12,4,0,55958,37323,27,3,10,2,671
MIL,SK,12,22,0,1,22,12,1,2,40338,54628,25,68,3,9,672
C9,GV,8,22,1,1,23,8,0,4,59649,70562,24,54,6,11,365
CST,TSM,6,13,0,0,13,6,0,0,31868,50937,7,30,0,0,30
DIG,XDG,16,7,0,0,7,16,0,0,56674,42825,40,12,0,0,31
DIG,CRS,15,2,0,0,2,15,0,0,57609,41184,36,4,0,0,33
SKT,ROX,17,26,0,2,26,17,3,3,65663,78920,30,65,3,8,892
CLG,DIG,9,18,0,2,18,9,0,5,57159,76654,20,55,4,9,338
CLG,XDG,6,22,0,0,22,6,0,0,34594,49960,15,52,0,0,113
