teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date
GIA,FNC,7,16,0,1,16,7,2,2,43670,55140,20,44,3,7,0,1,EU,EU,749,2015-02-27
CLG,Team MRN,8,18,0,0,18,8,0,0,43053,61077,19,56,0,0,0,1,US,US,90,2013-04-13
GMB,FNC,6,14,0,2,15,6,4,1,60881,75567,11,34,4,9,0,1,RU,EU,2205,2015-06-06
C9,EG,22,6,1,0,6,22,2,1,59018,40898,64,14,8,1,1,0,US,US,171,2014-02-24
EG,DIG,22,21,0,2,21,22,2,3,73935,81525,46,46,6,9,0,1,US,US,180,2014-03-03
CST,C9,3,10,0,1,10,3,2,2,45161,59033,6,29,3,10,0,1,US,US,407,2015-03-01
KDM,IMiracle,12,3,2,0,3,12,3,1,65132,51534,19,7,11,2,2,0,KR,KR,2381,2015-06-04
CW,MIL,16,12,0,0,12,16,0,4,57884,50375,50,33,10,1,1,0,DK,EU,473,2014-01-24
EG,C9,3,14,0,2,14,3,0,4,44921,64922,11,37,2,9,0,1,US,US,311,2014-07-13
TSD,FSN,21,5,1,0,5,22,3,0,57553,49275,47,5,8,5,1,0,US,US,822,2015-03-25
UOL,SK,20,12,2,0,12,20,3,0,60038,47164,52,19,11,4,1,0,EU,EU,750,2015-02-27
FNC,ALL,16,8,1,1,8,16,6,1,88034,73754,43,24,9,7,1,0,EU,EU,551,2014-04-01
CW,MIL,13,11,1,0,11,13,4,2,73682,61537,29,21,8,3,1,0,DK,EU,516,2014-03-01
C9,CLG,16,7,1,0,7,16,3,1,64120,46448,40,13,10,1,1,0,US,US,349,2014-08-04
GMB,SK,21,9,2,0,9,21,4,1,78178,56590,44,10,11,3,1,0,RU,EU,474,2014-01-24
T8,P1,18,11,1,2,11,18,1,4,80724,77904,38,34,8,8,1,0,US,US,408,2015-03-01
XDG,TSM,8,22,0,0,22,8,0,0,48778,66578,22,68,0,0,0,1,US,US,10,2013-02-15
FSN,F5,7,16,0,0,16,8,2,3,45527,59104,15,52,6,10,0,1,US,US,796,2015-02-18
MS,Lemondogs,9,17,0,0,17,9,0,0,36400,53000,16,30,0,0,0,1,EU,,2169,2013-08-17
MIL,ALL,3,7,0,1,7,3,1,3,40043,55873,11,15,2,11,0,1,EU,EU,592,2014-05-30
NME,TDK,30,10,1,0,11,30,1,3,71636,49942,84,29,10,1,1,0,US,US,797,2015-02-18
ALL,Team ALTERNATE,19,8,0,0,8,19,0,0,59800,46000,51,26,0,0,1,0,EU,PL,2170,2013-08-17
ROC,GMB,18,6,2,0,6,18,3,1,75476,56910,40,9,10,1,1,0,EU,RU,476,2014-01-25
COW,DIG,17,8,0,0,9,17,0,0,64928,51970,51,20,0,0,1,0,US,US,93,2013-04-18
ROC,MYM,16,6,1,0,6,16,2,1,61722,45216,39,14,10,2,1,0,EU,PL,552,2014-04-02
FNC,ALL,3,6,1,2,6,3,1,5,77596,86752,8,21,7,10,0,1,EU,EU,662,2014-07-25
NME,F5,15,5,1,0,5,15,3,0,52004,39274,32,10,9,3,1,0,US,US,823,2015-03-26
COW,CST,14,6,0,0,6,14,0,0,58828,45422,44,21,0,0,1,0,US,US,95,2013-04-18
WFX,GV,22,8,1,0,8,22,4,0,75004,56952,52,18,15,2,1,0,US,US,359,2015-01-25
FNC,MYM,15,4,0,1,4,15,4,1,70392,52331,36,11,11,2,1,0,EU,PL,477,2014-01-25
NIP,SK,27,19,0,0,19,27,0,0,83100,85000,75,56,0,0,1,0,EU,EU,2171,2013-08-18
CLB,TSD,14,24,0,1,24,14,3,3,70449,83164,31,61,4,10,0,1,US,US,798,2015-02-18
SK,MYM,11,16,0,2,16,11,0,5,75705,95288,20,36,4,10,0,1,EU,PL,663,2014-07-25
CRS,CST,13,10,0,0,10,13,0,0,75210,82301,36,30,0,0,0,1,US,US,97,2013-04-18
FSN,TSD,19,1,1,0,1,20,3,0,48091,29767,25,1,10,0,1,0,US,US,825,2015-03-26
P1,TL,10,21,1,0,21,10,0,4,58674,63183,25,61,4,7,0,1,US,US,360,2015-01-25
F5,FSN,13,27,0,3,27,13,1,5,63818,80884,33,75,2,8,0,1,US,US,799,2015-02-19
CLG,DIG,12,0,0,0,0,12,0,0,57668,39268,31,0,0,0,1,0,US,US,98,2013-04-18
CLG,T8,22,10,1,0,10,23,2,1,64224,49397,65,27,8,4,1,0,US,US,361,2015-01-25
SK,FNC,17,10,1,0,10,17,2,3,67260,60118,46,20,8,3,1,0,EU,EU,553,2014-04-02
CLB,TSD,21,40,0,2,41,21,1,4,69793,86693,48,90,5,10,0,1,US,US,826,2015-03-26
DIG,P1,4,8,0,0,8,4,0,3,32140,43224,7,23,0,10,0,1,US,US,362,2015-01-26
C9,TSM,13,5,2,0,5,13,4,1,71727,54455,31,11,10,5,1,0,US,US,238,2014-05-24
MIL,CW,22,7,1,0,7,22,3,1,61582,43763,67,14,10,3,1,0,EU,DK,665,2014-07-25
TSM,CLG,23,12,1,1,12,23,3,1,72761,56861,45,24,11,1,1,0,US,US,138,2014-01-26
FNC,GMB,23,11,0,0,11,23,0,0,71000,56200,62,27,0,0,1,0,EU,RU,2172,2013-08-18
TL,GV,13,3,1,0,3,13,3,0,58085,40123,28,4,10,0,1,0,US,US,409,2015-03-01
MIL,MYM,35,16,1,0,16,35,2,2,68940,53902,82,38,9,4,1,0,EU,PL,554,2014-04-02
CST,TSM,5,14,0,2,15,5,2,2,46016,63369,8,39,2,9,0,1,US,US,438,2015-03-29
TSM,CLG,7,1,2,0,1,7,4,0,59033,43496,11,2,11,5,1,0,US,US,331,2014-07-28
CRS,CLG,9,16,0,1,16,9,1,3,47670,64998,23,39,3,10,0,1,US,US,239,2014-05-24
CLG,WFX,15,3,1,0,3,15,3,1,54369,34981,50,11,11,0,1,0,US,US,411,2015-03-01
DEU,MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,EU,841,2015-02-26
CST,WFX,25,7,1,0,8,25,3,2,70394,54901,70,14,10,3,1,0,US,US,363,2015-01-26
JAG,ROX,15,15,0,2,15,15,3,2,70041,76785,31,42,5,8,0,2,KR,KR,901,2015-03-07
TSM,WFX,13,4,1,0,5,13,3,0,59276,45079,36,10,11,3,1,0,US,US,371,2015-02-01
SK,ROC,11,4,1,0,4,11,3,0,66621,45457,25,8,10,0,1,0,EU,EU,666,2014-07-26
GMB,CW,18,8,1,0,8,18,1,3,63541,51020,48,14,9,3,1,0,RU,DK,753,2015-02-27
FNC,MIL,23,14,1,1,14,23,5,1,83260,67885,62,24,9,5,1,0,EU,EU,667,2014-07-26
GV,CST,15,3,2,0,3,15,3,0,61317,42431,38,7,11,2,1,0,US,US,412,2015-03-02
LMQ,EG,21,10,1,0,10,21,2,2,64011,48588,47,28,7,3,1,0,US,US,240,2014-05-24
P1,DIG,5,16,0,2,16,6,1,4,58913,71857,7,34,3,9,0,1,US,US,441,2015-03-29
MYM,GMB,18,5,1,0,5,18,3,2,70949,50548,45,13,10,0,1,0,PL,RU,668,2014-07-26
ALL,CW,29,2,1,0,2,29,3,0,58702,34500,80,4,10,2,1,0,EU,DK,669,2014-07-26
GMB,CW,20,8,1,0,8,20,4,1,81391,61078,54,18,9,3,1,0,RU,DK,670,2014-07-29
DIG,C9,11,2,1,0,2,11,3,0,51873,42097,24,5,9,5,1,0,US,US,247,2014-05-25
C9,WFX,16,2,1,0,2,16,4,0,57982,37099,46,5,11,1,1,0,US,US,413,2015-03-02
TDK,TL,10,23,0,3,23,10,1,4,64660,81043,25,51,3,11,0,1,US,US,1961,2015-05-31
P1,TSM,21,11,0,0,11,21,3,1,71221,64084,65,26,8,4,1,0,US,US,414,2015-03-02
S04,CW,19,10,1,0,10,19,1,3,66798,52157,42,14,10,4,1,0,EU,DK,713,2015-01-30
ALL,SK,1,17,0,1,17,1,0,5,57405,76786,1,42,5,9,0,1,EU,EU,517,2014-03-01
XDG,C9,22,18,2,1,18,22,3,4,89673,78323,47,30,11,5,1,0,US,US,175,2014-03-02
CLB,CRS,11,19,3,1,19,11,7,1,129459,120433,29,47,11,8,1,0,US,US,312,2014-07-13
CLG,DIG,16,3,1,0,3,16,2,1,56835,40643,45,8,10,0,1,0,US,US,1962,2015-05-31
GIA,SK,17,8,1,0,8,17,2,2,62863,49529,34,19,9,3,1,0,EU,EU,2206,2015-06-06
CLG,CRS,13,10,0,2,10,13,4,2,85029,76411,40,29,10,7,1,0,US,US,176,2014-03-02
CST,TSM,7,25,0,2,25,7,0,5,55867,82792,16,63,3,11,0,1,US,US,184,2014-03-08
GMB,FNC,16,26,0,2,26,17,2,3,65229,78535,33,54,5,11,0,1,RU,EU,714,2015-01-31
LMQ,DIG,21,5,1,0,5,21,2,1,51746,33551,44,14,9,1,1,0,US,US,313,2014-07-13
RG,OG,1,15,0,1,15,1,0,3,33246,52109,1,34,1,9,0,1,GB,EU,842,2015-02-26
T8,P1,8,22,0,2,22,8,1,3,45248,67214,18,69,2,9,0,1,US,US,1963,2015-05-31
MIL,SK,12,22,0,1,22,12,1,2,40338,54628,25,68,3,9,0,1,EU,EU,672,2014-07-30
MYM,ROC,20,10,1,0,10,20,4,0,68078,52042,43,30,10,3,1,0,PL,EU,518,2014-03-01
GV,T8,21,4,1,0,5,21,5,0,63906,47485,48,9,10,3,1,0,US,US,445,2015-03-30
C9,GV,8,22,1,1,23,8,0,4,59649,70562,24,54,6,11,0,1,US,US,365,2015-01-26
CST,TSM,6,13,0,0,13,6,0,0,31868,50937,7,30,0,0,0,1,US,US,30,2013-02-28
Team MRN,CRS,11,23,0,0,23,11,0,0,51076,66610,34,63,0,0,0,1,US,US,101,2013-04-19
UOL,ROC,17,21,0,3,21,17,3,3,83362,89955,45,45,8,7,1,0,EU,EU,2207,2015-06-06
XDG,CST,16,9,0,0,9,16,0,0,61780,46086,43,26,0,0,1,0,US,US,102,2013-04-19
DIG,XDG,16,7,0,0,7,16,0,0,56674,42825,40,12,0,0,1,0,US,US,31,2013-02-28
CLB,LMQ,11,11,1,0,11,11,3,3,76748,73311,22,30,6,6,0,1,US,US,314,2014-07-14
DEU,OG,6,15,0,1,15,6,0,4,44653,60377,12,31,2,9,0,1,,EU,843,2015-03-04
DIG,CST,20,10,1,1,10,20,3,3,81984,75399,29,24,9,6,1,0,US,US,417,2015-03-08
CST,EG,18,4,1,0,4,18,2,2,57685,42135,45,3,10,3,1,0,US,US,178,2014-03-02
CLG,XDG,14,7,0,0,7,14,0,0,59932,54031,46,17,0,0,1,0,US,US,104,2013-04-19
OMG,RNG,17,9,0,0,10,17,3,1,56270,49018,59,16,7,3,2,0,CN,CN,2432,2015-05-29
