,teamname1,teamname2,kill1,kill2,baronkill1,baronkill2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,team_1_win,team_2_win,name_1_country,name_2_country,scheduleid,game_date,winner,team_1_mark,team_2_mark
0,GIA,FNC,7,16.0,0.0,1.0,16,7.0,2.0,2.0,43670,55140.0,20,44.0,3.0,7.0,0,1,EU,EU,749,2015-02-27,FNC,0.0,1.0
1,CLG,Team MRN,8,18.0,0.0,0.0,18,8.0,0.0,0.0,43053,61077.0,19,56.0,0.0,0.0,0,1,US,US,90,2013-04-13,Team MRN,0.0,1.0
2,GMB,FNC,6,14.0,0.0,2.0,15,6.0,4.0,1.0,60881,75567.0,11,34.0,4.0,9.0,0,1,RU,EU,2205,2015-06-06,FNC,0.0,1.0
3,C9,EG,22,6.0,1.0,0.0,6,22.0,2.0,1.0,59018,40898.0,64,14.0,8.0,1.0,1,0,US,US,171,2014-02-24,C9,1.0,0.0
4,EG,DIG,22,21.0,0.0,2.0,21,22.0,2.0,3.0,73935,81525.0,46,46.0,6.0,9.0,0,1,US,US,180,2014-03-03,DIG,0.0,1.0
5,CST,C9,3,10.0,0.0,1.0,10,3.0,2.0,2.0,45161,59033.0,6,29.0,3.0,10.0,0,1,US,US,407,2015-03-01,C9,0.0,1.0
6,KDM,IMiracle,12,3.0,2.0,0.0,3,12.0,3.0,1.0,65132,51534.0,19,7.0,11.0,2.0,2,0,KR,KR,2381,2015-06-04,KDM,1.0,0.0
7,CW,MIL,16,12.0,0.0,0.0,12,16.0,0.0,4.0,57884,50375.0,50,33.0,10.0,1.0,1,0,DK,EU,473,2014-01-24,CW,1.0,0.0
8,EG,C9,3,14.0,0.0,2.0,14,3.0,0.0,4.0,44921,64922.0,11,37.0,2.0,9.0,0,1,US,US,311,2014-07-13,C9,0.0,1.0
9,TSD,FSN,21,5.0,1.0,0.0,5,22.0,3.0,0.0,57553,49275.0,47,5.0,8.0,5.0,1,0,US,US,822,2015-03-25,TSD,1.0,0.0
10,UOL,SK,20,12.0,2.0,0.0,12,20.0,3.0,0.0,60038,47164.0,52,19.0,11.0,4.0,1,0,EU,EU,750,2015-02-27,UOL,1.0,0.0
11,FNC,ALL,16,8.0,1.0,1.0,8,16.0,6.0,1.0,88034,73754.0,43,24.0,9.0,7.0,1,0,EU,EU,551,2014-04-01,FNC,1.0,0.0
12,CW,MIL,13,11.0,1.0,0.0,11,13.0,4.0,2.0,73682,61537.0,29,21.0,8.0,3.0,1,0,DK,EU,516,2014-03-01,CW,1.0,0.0
13,C9,CLG,16,7.0,1.0,0.0,7,16.0,3.0,1.0,64120,46448.0,40,13.0,10.0,1.0,1,0,US,US,349,2014-08-04,C9,1.0,0.0
14,GMB,SK,21,9.0,2.0,0.0,9,21.0,4.0,1.0,78178,56590.0,44,10.0,11.0,3.0,1,0,RU,EU,474,2014-01-24,GMB,1.0,0.0
15,T8,P1,18,11.0,1.0,2.0,11,18.0,1.0,4.0,80724,77904.0,38,34.0,8.0,8.0,1,0,US,US,408,2015-03-01,T8,1.0,0.0
16,XDG,TSM,8,22.0,0.0,0.0,22,8.0,0.0,0.0,48778,66578.0,22,68.0,0.0,0.0,0,1,US,US,10,2013-02-15,TSM,0.0,1.0
17,FSN,F5,7,16.0,0.0,0.0,16,8.0,2.0,3.0,45527,59104.0,15,52.0,6.0,10.0,0,1,US,US,796,2015-02-18,F5,0.0,1.0
18,MS,Lemondogs,9,17.0,0.0,0.0,17,9.0,0.0,0.0,36400,53000.0,16,30.0,0.0,0.0,0,1,EU,,2169,2013-08-17,Lemondogs,0.0,1.0
19,MIL,ALL,3,7.0,0.0,1.0,7,3.0,1.0,3.0,40043,55873.0,11,15.0,2.0,11.0,0,1,EU,EU,592,2014-05-30,ALL,0.0,1.0
20,NME,TDK,30,10.0,1.0,0.0,11,30.0,1.0,3.0,71636,49942.0,84,29.0,10.0,1.0,1,0,US,US,797,2015-02-18,NME,1.0,0.0
